Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14008_001,SE_A14010_001,SE_A14011_001,SE_A14012_001,SE_A14013_001,SE_A14014_001,SE_A14014_002,SE_A14014_003,SE_A14014_004,SE_A14014_005,SE_A14014_006,SE_A14014_007,SE_A15001_001,SE_A15001_002,SE_A15001_003,SE_A15001_004,SE_A15001_005,SE_A15001_006,SE_A15001_007,SE_A15001_008,SE_A15001_009,SE_A15001_010,SE_A15001_011,SE_A15001_012,SE_A15001_013,SE_A15001_014,SE_A15001_015,SE_A15001_016,SE_A15001_017,SE_A15001_018,SE_A14015_001,SE_A14015_002,SE_A14015_003,SE_A10011_001,SE_A10011_002,SE_A10011_003,SE_A10019_001,SE_A10019_002,SE_A10019_003,SE_A10016_001,SE_A10016_002,SE_A10016_003,SE_A10012_001,SE_A10012_002,SE_A10012_003,SE_A10017_001,SE_A10017_002,SE_A10017_003,SE_A10018_001,SE_A10018_002,SE_A10018_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_001,SE_A10015_002,SE_A10015_003,SE_A10013_001,SE_A10013_002,SE_A10013_003,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001
"36005000100","Census Tract 1","Census Tract 1, Bronx County, New York","ny","140","00","ACSSF","0003484",,,,,"36","005",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005000100",,,"1677210","1035011",7080,7080,10933.11,0.647574428916273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10163,10029,15000,8848,12542,,7000,11208,11506,11719,10714,,,11363,11903,12525,10446,,,,,6875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,3288,2170,,174,,911,,1863,5900
"36005000200","Census Tract 2","Census Tract 2, Bronx County, New York","ny","140","00","ACSSF","0003485",,,,,"36","005",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005000200",,,"479463","852046",4542,4542,24535.21,0.185121707127601,1328,91,32,65,98,67,64,26,106,21,95,176,126,149,55,79,78,59914,59914,63818,34955,,,,59333,130583,62838,106146,72979.0662650602,66488,79726.617954071,51346,49907.5675675676,28690,32697,46466,11401,23576,34479,13570,37228,33831,30931,33333,53810,86146,43086,34211,36282,62973,54957,,31370,33229,30399,22353,51250,,59914,67232,44390,1328,1028,300,1328,1011,317,1328,77,1251,1328,108,1220,1328,508,820,1328,156,1172,1328,97,1231,1328,274,1054,1328,123,1205,22538,24822,19015,,29756,,18895,31477,21233,38536
"36005000400","Census Tract 4","Census Tract 4, Bronx County, New York","ny","140","00","ACSSF","0003486",,,,,"36","005",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005000400",,,"770689","690794",5634,5634,18933.7,0.297564699141463,1963,142,38,106,43,10,58,46,98,22,82,271,337,162,178,247,123,82073,82073,73000,90278,,,,101776,158000,81554,69671,94722.7712684666,90118,101181.818181818,52419,60767.2794117647,36931,37222,61250,13393,36551,59141,14753,52741,11667,54375,45907,56333,81771,48365,,52578,45077,62212,124068,57143,,81438,47931,49781,62083,82073,90759,50313,1963,1599,364,1963,1571,392,1963,144,1819,1963,286,1677,1963,580,1383,1963,109,1854,1963,143,1820,1963,351,1612,1963,194,1769,35025,33273,38551,62473,30443,,31434,43922,34321,26480
"36005001600","Census Tract 16","Census Tract 16, Bronx County, New York","ny","140","00","ACSSF","0003487",,,,,"36","005",,,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005001600",,,"485079","0",5917,5917,31592.71,0.187290056942349,1982,167,247,111,122,113,214,59,152,88,211,141,161,133,19,23,21,35802,35802,34569,40563,,,,33295,,36085,,59663.370332997,40577,66110.8923884514,17560,20254.8034934498,18610,21599,41571,9982,16781,34437,12053,32182,20522,24432,32061,50781,48629,35994,,,36567,,44000,30878,12336,24205,30726,53021,83125,35802,60912,33419,1982,1477,505,1982,1470,512,1982,66,1916,1982,46,1936,1982,672,1310,1982,202,1780,1982,189,1793,1982,249,1733,1982,165,1817,22649,17847,15116,,,,19307,229871,28024,11315
"36005001900","Census Tract 19","Census Tract 19, Bronx County, New York","ny","140","00","ACSSF","0003488",,,,,"36","005",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005001900",,,"1668013","1143135",2765,2765,4293.322,0.644023447212883,929,127,96,31,31,24,43,71,73,25,82,97,115,50,49,0,15,42075,42075,56375,38981,,,,46932,42292,46705,56750,54415.1776103337,41447,56012.0408163265,39896,49000,21266,21707,38250,8169,20750,41715,9360,34167,,28200,37188,42115,51429,31769,,26328,35188,69773,50703,35417,21354,29514,42222,33667,66250,42075,86250,40025,929,760,169,929,722,207,929,108,821,929,35,894,929,66,863,929,72,857,929,48,881,929,31,898,929,40,889,20756,37195,16373,,12286,,18276,8448,21406,38473
"36005002000","Census Tract 20","Census Tract 20, Bronx County, New York","ny","140","00","ACSSF","0003489",,,,,"36","005",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005002000",,,"395564","0",9409,9409,61606.21,0.15272812074805,3151,659,440,294,196,176,157,201,108,0,249,183,244,163,11,38,32,24447,24447,19893,34402,,,,27996,14907,22074,,43280.2602348461,30690,47286.0829493088,11964,24842.9153924567,17792,27716,41812,9638,15174,30417,10969,31138,18265,35643,38456,,,40478,31213,40816,46732,39150,,20637,12289,27851,29583,,,24447,50407,18119,3151,1953,1198,3151,1798,1353,3151,155,2996,3151,123,3028,3151,924,2227,3151,687,2464,3151,286,2865,3151,249,2902,3151,297,2854,15534,11872,19054,,,,14865,6965,13050,
"36005002300","Census Tract 23","Census Tract 23, Bronx County, New York","ny","140","00","ACSSF","0003490",,,,,"36","005",,,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005002300",,,"104645","0",4600,4600,113851.1,0.0404036621019094,2000,473,347,302,172,81,135,106,85,90,83,39,60,0,6,21,0,18032,18032,14816,15639,23713,,,19909,,18050,,25868.55,24556,30936.1424847958,12177,15987.9858657244,12768,15791,31330,9318,11836,24779,9946,19537,15500,22393,20819,36549,,21588,19310,21923,,,,18801,12113,22644,20862,36354,,18032,,18032,2000,1096,904,2000,1050,950,2000,88,1912,2000,24,1976,2000,752,1248,2000,498,1502,2000,258,1742,2000,155,1845,2000,123,1877,11864,10795,9479,8206,,,14499,23060,13257,
"36005002400","Census Tract 24","Census Tract 24, Bronx County, New York","ny","140","00","ACSSF","0003491",,,,,"36","005",,,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005002400",,,"675911","263388",172,172,659.0778,0.260970707200188,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,38,,,,,,,,,,,,,,,,,61152,,,,,,,61152,,,,,,,,,,,,,,,,,,,,,43,43,0,43,43,0,43,0,43,43,0,43,43,0,43,43,0,43,43,0,43,43,0,43,43,0,43,54873,,,,,,,,,
"36005002500","Census Tract 25","Census Tract 25, Bronx County, New York","ny","140","00","ACSSF","0003492",,,,,"36","005",,,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005002500",,,"127492","0",5887,5887,119593.9,0.0492249384939235,1947,430,263,205,93,65,146,85,96,66,78,111,104,109,96,0,0,24530,24530,53669,16528,,,,23734,,24391,64643,38060.0410888546,35944,47724.2681047766,10985,16220.4930662558,16682,20165,28337,8771,15272,31897,10876,23830,23519,18139,31373,23875,63913,24769,25332,16307,28438,13833,64620,22563,16581,18722,40375,36111,60694,24530,130398,23790,1947,1259,688,1947,1211,736,1947,132,1815,1947,48,1899,1947,514,1433,1947,501,1446,1947,154,1793,1947,44,1903,1947,98,1849,13551,23743,12784,,12948,,11237,12792,13275,22598
"36005002701","Census Tract 27.01","Census Tract 27.01, Bronx County, New York","ny","140","00","ACSSF","0003493",,,,,"36","005",,,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36005002701",,,"82641","0",2868,2868,89883.78,0.0319078698434124,1061,286,113,120,114,72,34,51,101,12,26,78,48,0,6,0,0,20599,20599,,21131,,,,18292,,20602,,27448.067860509,24185,30107.9027355623,12938,18792.8039702233,15243,17044,38906,10566,11429,26563,8440,24701,16623,27546,24038,42917,,26046,,26563,25417,,,23587,16433,28355,23365,42778,,20599,,20599,1061,705,356,1061,665,396,1061,40,1021,1061,6,1055,1061,221,840,1061,181,880,1061,182,879,1061,66,995,1061,72,989,10650,16007,11420,,,,9163,,10611,
